latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
55.571175,12.935223,12.0,3600,Europe/Berlin,CET

time,sunshine_duration
2023-01-01,6855.46
2023-01-02,0.00
2023-01-03,19403.08
2023-01-04,0.00
2023-01-05,0.00
2023-01-06,7.97
2023-01-07,2516.83
2023-01-08,0.00
2023-01-09,0.00
2023-01-10,20530.20
2023-01-11,0.00
2023-01-12,0.00
2023-01-13,13293.86
2023-01-14,6772.25
2023-01-15,20952.51
2023-01-16,22025.84
2023-01-17,0.00
2023-01-18,16178.15
2023-01-19,0.00
2023-01-20,3436.42
2023-01-21,21614.93
2023-01-22,3874.92
2023-01-23,14217.44
2023-01-24,17819.13
2023-01-25,7793.20
2023-01-26,7123.79
2023-01-27,24572.74
2023-01-28,9702.09
2023-01-29,11036.10
2023-01-30,20009.96
2023-01-31,3420.29
2023-02-01,15584.03
2023-02-02,26048.82
2023-02-03,7200.00
2023-02-04,26740.95
2023-02-05,11137.83
2023-02-06,26985.64
2023-02-07,13782.24
2023-02-08,27849.77
2023-02-09,14251.19
2023-02-10,18361.23
2023-02-11,23169.96
2023-02-12,25562.01
2023-02-13,29471.37
2023-02-14,16556.61
2023-02-15,16721.67
2023-02-16,5178.67
2023-02-17,1220.66
2023-02-18,30379.76
2023-02-19,31229.29
2023-02-20,0.00
2023-02-21,31648.21
2023-02-22,23557.23
2023-02-23,0.00
2023-02-24,13468.96
2023-02-25,23545.31
2023-02-26,32889.61
2023-02-27,7200.00
2023-02-28,33291.75
2023-03-01,27327.86
2023-03-02,34044.82
2023-03-03,33346.29
2023-03-04,33603.87
2023-03-05,34947.10
2023-03-06,34798.83
2023-03-07,19957.55
2023-03-08,36139.38
2023-03-09,35172.74
2023-03-10,14835.67
2023-03-11,35375.88
2023-03-12,28156.15
2023-03-13,2057.38
2023-03-14,0.00
2023-03-15,38131.12
2023-03-16,32925.62
2023-03-17,4188.97
2023-03-18,18265.80
2023-03-19,14311.24
2023-03-20,0.00
2023-03-21,9983.63
2023-03-22,2300.45
2023-03-23,26850.88
2023-03-24,24827.13
2023-03-25,27015.51
2023-03-26,24299.10
2023-03-27,30678.70
2023-03-28,41635.48
2023-03-29,4513.13
2023-03-30,5854.97
2023-03-31,6365.13
2023-04-01,37112.01
2023-04-02,42411.89
2023-04-03,42842.10
2023-04-04,35355.67
2023-04-05,35871.05
2023-04-06,43742.36
2023-04-07,17486.84
2023-04-08,42788.00
2023-04-09,44391.98
2023-04-10,41193.54
2023-04-11,6867.73
2023-04-12,37161.91
2023-04-13,43263.97
2023-04-14,10535.89
2023-04-15,37030.14
2023-04-16,25968.07
2023-04-17,46660.79
2023-04-18,46578.77
2023-04-19,47536.20
2023-04-20,47788.35
2023-04-21,48038.77
2023-04-22,48287.28
2023-04-23,13897.36
2023-04-24,27137.92
2023-04-25,1941.77
2023-04-26,49258.32
2023-04-27,49494.32
2023-04-28,41754.74
2023-04-29,49808.32
2023-04-30,49931.50
2023-05-01,42065.79
2023-05-02,49183.87
2023-05-03,50351.28
2023-05-04,40592.24
2023-05-05,39487.90
2023-05-06,35923.23
2023-05-07,50904.64
2023-05-08,51086.78
2023-05-09,51230.32
2023-05-10,51222.25
2023-05-11,51332.33
2023-05-12,51956.14
2023-05-13,52150.55
2023-05-14,51762.32
2023-05-15,51412.38
2023-05-16,34902.18
2023-05-17,53007.89
2023-05-18,53304.29
2023-05-19,53738.71
2023-05-20,52479.62
2023-05-21,46907.02
2023-05-22,51216.12
2023-05-23,10720.57
2023-05-24,42995.36
2023-05-25,54894.69
2023-05-26,49512.18
2023-05-27,55445.63
2023-05-28,51987.75
2023-05-29,55728.96
2023-05-30,55863.38
2023-05-31,49676.34
2023-06-01,56116.76
2023-06-02,54794.22
2023-06-03,56348.09
2023-06-04,56454.97
2023-06-05,56555.73
2023-06-06,56650.13
2023-06-07,56730.66
2023-06-08,56762.40
2023-06-09,55110.35
2023-06-10,56824.00
2023-06-11,56846.88
2023-06-12,56865.94
2023-06-13,56870.37
2023-06-14,56893.08
2023-06-15,48603.29
2023-06-16,44005.80
2023-06-17,44026.93
2023-06-18,30025.45
2023-06-19,47460.70
2023-06-20,56894.31
2023-06-21,46346.47
2023-06-22,54032.05
2023-06-23,41303.85
2023-06-24,56828.57
2023-06-25,56814.23
2023-06-26,37708.04
2023-06-27,53423.13
2023-06-28,56701.27
2023-06-29,33647.14
2023-06-30,40048.50
2023-07-01,1062.34
2023-07-02,51871.95
2023-07-03,56369.64
2023-07-04,54913.10
2023-07-05,33888.91
2023-07-06,53683.54
2023-07-07,54723.94
2023-07-08,55398.89
2023-07-09,56194.01
2023-07-10,27801.46
2023-07-11,55180.29
2023-07-12,29774.49
2023-07-13,51703.69
2023-07-14,55343.11
2023-07-15,51871.89
2023-07-16,43101.89
2023-07-17,47326.88
2023-07-18,54560.95
2023-07-19,49980.95
2023-07-20,53483.62
2023-07-21,52848.11
