latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
59.297012,18.163265,24.0,3600,Europe/Berlin,CET

time,sunshine_duration
2023-01-01,13654.35
2023-01-02,0.00
2023-01-03,14177.50
2023-01-04,0.00
2023-01-05,0.00
2023-01-06,0.00
2023-01-07,0.00
2023-01-08,0.00
2023-01-09,0.00
2023-01-10,0.00
2023-01-11,0.00
2023-01-12,0.00
2023-01-13,3319.67
2023-01-14,0.00
2023-01-15,13951.34
2023-01-16,15192.91
2023-01-17,0.00
2023-01-18,14604.36
2023-01-19,7186.72
2023-01-20,16496.17
2023-01-21,6548.08
2023-01-22,10800.00
2023-01-23,12853.25
2023-01-24,0.00
2023-01-25,0.00
2023-01-26,18658.01
2023-01-27,21469.49
2023-01-28,7200.00
2023-01-29,20490.05
2023-01-30,21768.86
2023-01-31,22554.61
2023-02-01,0.00
2023-02-02,18974.90
2023-02-03,9455.05
2023-02-04,23958.74
2023-02-05,0.00
2023-02-06,24864.54
2023-02-07,0.00
2023-02-08,0.00
2023-02-09,0.00
2023-02-10,26243.82
2023-02-11,16787.59
2023-02-12,19519.65
2023-02-13,26652.99
2023-02-14,27648.27
2023-02-15,0.00
2023-02-16,0.00
2023-02-17,0.00
2023-02-18,7876.51
2023-02-19,29077.66
2023-02-20,3837.93
2023-02-21,0.00
2023-02-22,0.00
2023-02-23,0.00
2023-02-24,0.00
2023-02-25,12297.77
2023-02-26,10214.55
2023-02-27,24836.29
2023-02-28,32232.15
2023-03-01,32822.86
2023-03-02,31672.54
2023-03-03,28899.48
2023-03-04,28219.59
2023-03-05,30574.96
2023-03-06,24110.05
2023-03-07,15259.09
2023-03-08,0.00
2023-03-09,16064.63
2023-03-10,35819.02
2023-03-11,15924.95
2023-03-12,34741.48
2023-03-13,0.00
2023-03-14,11642.29
2023-03-15,36898.54
2023-03-16,37357.57
2023-03-17,10790.53
2023-03-18,0.00
2023-03-19,0.00
2023-03-20,0.00
2023-03-21,23609.16
2023-03-22,12064.90
2023-03-23,39430.70
2023-03-24,1632.04
2023-03-25,0.00
2023-03-26,207.11
2023-03-27,0.00
2023-03-28,13450.17
2023-03-29,2075.28
2023-03-30,21953.00
2023-03-31,18270.37
2023-04-01,42669.80
2023-04-02,42887.67
2023-04-03,43057.56
2023-04-04,43053.55
2023-04-05,3930.43
2023-04-06,31247.21
2023-04-07,0.00
2023-04-08,41948.66
2023-04-09,43697.88
2023-04-10,44307.28
2023-04-11,44785.55
2023-04-12,45415.66
2023-04-13,13964.80
2023-04-14,9549.34
2023-04-15,46719.72
2023-04-16,47410.95
2023-04-17,47795.21
2023-04-18,48091.13
2023-04-19,48385.64
2023-04-20,48678.53
2023-04-21,48890.62
2023-04-22,49032.47
2023-04-23,23268.50
2023-04-24,0.00
2023-04-25,3654.61
2023-04-26,48816.37
2023-04-27,50092.88
2023-04-28,50356.16
2023-04-29,29404.01
2023-04-30,49690.97
2023-05-01,10394.97
2023-05-02,39508.41
2023-05-03,48642.77
2023-05-04,52380.36
2023-05-05,51241.43
2023-05-06,52138.95
2023-05-07,52786.87
2023-05-08,53116.71
2023-05-09,53268.84
2023-05-10,53588.51
2023-05-11,53940.04
2023-05-12,54215.87
2023-05-13,54501.52
2023-05-14,54674.59
2023-05-15,47578.11
2023-05-16,17684.02
2023-05-17,19273.24
2023-05-18,55832.20
2023-05-19,55950.38
2023-05-20,55121.93
2023-05-21,56131.63
2023-05-22,54150.54
2023-05-23,53363.99
2023-05-24,56671.24
2023-05-25,52962.23
2023-05-26,47883.34
2023-05-27,57191.94
2023-05-28,37834.90
2023-05-29,50412.16
2023-05-30,57748.51
2023-05-31,46124.16
2023-06-01,48561.38
2023-06-02,42078.92
2023-06-03,41125.07
2023-06-04,40389.92
2023-06-05,58758.43
2023-06-06,58849.80
2023-06-07,58906.45
2023-06-08,59222.43
2023-06-09,59356.89
2023-06-10,58724.34
