latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
59.297012,18.163265,24.0,3600,Europe/Berlin,CET

time,temperature,precipitation,cloud_cover,wind_speed_10m
2023-01-01T00:00,2.8,0.00,87,15.3
2023-01-01T01:00,2.4,0.00,100,14.8
2023-01-01T02:00,1.6,0.00,100,11.2
2023-01-01T03:00,0.8,0.00,100,10.4
2023-01-01T04:00,0.2,0.00,100,9.7
2023-01-01T05:00,-0.2,0.00,100,8.3
2023-01-01T06:00,-0.5,0.00,100,7.6
2023-01-01T07:00,-1.0,0.00,100,8.0
2023-01-01T08:00,-1.3,0.00,100,7.9
2023-01-01T09:00,-2.1,0.00,77,8.4
2023-01-01T10:00,-1.9,0.00,13,8.8
2023-01-01T11:00,-0.9,0.00,49,8.0
2023-01-01T12:00,-0.3,0.00,43,5.9
2023-01-01T13:00,-0.2,0.00,22,4.7
2023-01-01T14:00,-0.6,0.00,100,8.6
2023-01-01T15:00,-1.1,0.00,100,9.5
2023-01-01T16:00,-0.8,0.00,100,6.3
2023-01-01T17:00,-1.0,0.00,100,6.9
2023-01-01T18:00,-2.1,0.00,100,7.6
2023-01-01T19:00,-2.3,0.00,100,6.0
2023-01-01T20:00,-2.3,0.00,92,4.5
2023-01-01T21:00,-3.5,0.00,100,3.3
2023-01-01T22:00,-3.8,0.00,100,4.4
2023-01-01T23:00,-3.8,0.00,97,6.6
2023-01-02T00:00,-3.6,0.00,31,7.2
2023-01-02T01:00,-2.9,0.00,35,9.2
2023-01-02T02:00,-1.0,0.00,99,10.8
2023-01-02T03:00,0.7,0.00,100,12.5
2023-01-02T04:00,2.1,0.10,100,15.6
2023-01-02T05:00,2.5,0.10,100,13.8
2023-01-02T06:00,2.1,0.80,100,16.7
2023-01-02T07:00,2.1,0.00,100,15.6
2023-01-02T08:00,2.5,0.00,100,12.4
2023-01-02T09:00,2.3,0.00,100,10.1
2023-01-02T10:00,2.7,0.10,100,12.6
2023-01-02T11:00,2.8,0.10,100,11.3
2023-01-02T12:00,3.0,0.10,100,10.7
2023-01-02T13:00,3.4,0.20,100,10.0
2023-01-02T14:00,3.6,0.10,100,8.9
2023-01-02T15:00,3.3,0.10,100,7.2
2023-01-02T16:00,3.0,0.30,100,6.6
2023-01-02T17:00,3.1,0.80,100,5.5
2023-01-02T18:00,2.5,0.90,100,5.1
2023-01-02T19:00,2.6,0.70,100,5.8
2023-01-02T20:00,2.6,0.60,100,9.3
2023-01-02T21:00,2.3,0.80,100,10.5
2023-01-02T22:00,1.5,1.50,100,13.2
2023-01-02T23:00,0.7,1.30,100,16.8
2023-01-03T00:00,0.1,0.50,100,15.5
2023-01-03T01:00,0.3,0.30,100,15.3
2023-01-03T02:00,-0.1,0.30,100,15.5
2023-01-03T03:00,-0.3,0.00,100,16.6
2023-01-03T04:00,-0.6,0.00,100,17.8
2023-01-03T05:00,-0.7,0.00,100,18.9
2023-01-03T06:00,-0.9,0.00,100,18.9
2023-01-03T07:00,-1.1,0.00,100,18.6
2023-01-03T08:00,-1.3,0.00,99,18.3
2023-01-03T09:00,-1.6,0.00,80,17.1
2023-01-03T10:00,-1.9,0.00,2,16.1
2023-01-03T11:00,-2.5,0.00,0,15.9
2023-01-03T12:00,-2.8,0.00,0,14.4
2023-01-03T13:00,-3.4,0.00,0,14.2
2023-01-03T14:00,-3.6,0.00,0,15.3
2023-01-03T15:00,-4.2,0.00,0,14.5
2023-01-03T16:00,-4.4,0.00,0,15.1
2023-01-03T17:00,-4.4,0.00,0,15.3
2023-01-03T18:00,-4.4,0.00,0,14.8
2023-01-03T19:00,-4.6,0.00,0,13.5
2023-01-03T20:00,-5.0,0.00,0,12.6
2023-01-03T21:00,-5.3,0.00,0,12.0
2023-01-03T22:00,-5.4,0.00,0,12.1
2023-01-03T23:00,-5.6,0.00,0,10.6
2023-01-04T00:00,-5.9,0.00,0,10.5
2023-01-04T01:00,-5.5,0.00,0,10.5
2023-01-04T02:00,-5.7,0.00,0,10.2
2023-01-04T03:00,-6.1,0.00,2,8.4
2023-01-04T04:00,-6.4,0.00,5,6.6
2023-01-04T05:00,-6.6,0.00,27,5.4
2023-01-04T06:00,-6.9,0.00,48,5.7
2023-01-04T07:00,-7.2,0.00,37,3.3
2023-01-04T08:00,-7.2,0.00,100,5.8
2023-01-04T09:00,-6.0,0.00,100,7.1
